id	descendant
0000812	0000136
0000812	0000137
0000812	0000139
0000812	0000145
0000812	0000149
0000812	0000812
0000812	0001153
0000812	0001586
0000816	0000816
0000828	0000828
0000828	0000860
0000828	0000867
0000832	0000832
0000834	0000834
0000834	0000849
0000834	0001579
0000834	0001580
0000839	0000839
0000840	0000840
0000841	0000841
0000849	0000849
0000849	0001580
0000857	0000857
0000860	0000860
0000866	0000866
0000867	0000867
0000875	0000875
0000877	0000877
0000886	0000886
0000887	0000887
0000887	0000922
0000892	0000892
0000893	0000893
0000896	0000896
0000897	0000897
0000900	0000900
0000904	0000904
0000905	0000905
0000910	0000910
0000911	0000911
0000913	0000913
0000915	0000915
0000916	0000916
0000917	0000917
0000918	0000918
0000920	0000920
0000922	0000922
0000923	0000923
0000929	0000242
0000929	0000245
0000929	0000250
0000929	0000264
0000929	0000265
0000929	0000267
0000929	0000277
0000929	0000326
0000929	0000929
0000929	0000930
0000929	0000931
0000929	0000932
0000929	0000933
0000929	0002010
0000930	0000930
0000931	0000931
0000932	0000931
0000932	0000932
0000932	0000933
0000933	0000933
0000935	0000935
0000941	0000941
0000947	0000947
0000971	0000971
0000993	0000993
0000996	0000996
0000997	0000997
0000999	0000999
0001001	0001001
0001005	0001005
0001005	0001038
0001005	0001050
0001008	0001008
0001013	0001013
0001014	0001014
0001014	0001071
0001017	0001017
0001018	0001018
0001018	0001042
0001024	0001024
0001026	0001026
0001027	0001027
0001032	0001032
0001033	0001033
0001038	0001038
0001039	0001039
0001040	0001040
0001041	0001041
0001042	0001042
0001043	0001043
0001049	0001049
0001050	0001050
0001054	0001054
0001055	0001055
0001060	0001060
0001062	0001062
0001067	0001067
0001069	0001069
0001070	0001070
0001071	0001071
0001073	0001073
0001074	0001074
0001076	0001076
0001084	0001084
0001088	0001088
0001089	0001089
0001092	0001092
0001093	0001093
0001094	0001094
0001095	0001095
0001096	0001096
0001098	0000479
0001098	0000493
0001098	0000538
0001098	0000610
0001098	0000630
0001098	0000660
0001098	0001093
0001098	0001095
0001098	0001098
0001098	0001099
0001098	0001112
0001098	0001116
0001098	0001135
0001098	0001136
0001098	0001147
0001098	0001493
0001099	0001099
0001101	0001101
0001106	0001106
0001112	0001112
0001115	0001115
0001116	0001116
0001117	0001117
0001118	0001118
0001119	0001119
0001120	0001120
0001125	0001125
0001126	0001126
0001128	0001128
0001129	0001129
0001134	0001134
0001135	0001135
0001136	0001136
0001137	0001137
0001142	0001142
0001144	0001144
0001147	0001147
0001149	0001149
0001151	0001151
0001153	0000145
0001153	0001153
0001178	0001178
0001194	0001194
0001194	0001196
0001196	0001196
0001197	0001194
0001197	0001196
0001197	0001197
0001197	0001557
0001197	0001560
0001197	0001563
0001197	0001787
0001197	0001788
0001197	0001791
0001204	0001204
0001211	0001211
0001215	0001215
0001218	0001218
0001218	0001868
0001220	0001215
0001220	0001220
0001222	0001222
0001223	0001223
0001225	0001225
0001227	0001227
0001230	0001230
0001232	0001232
0001234	0001234
0001241	0001241
0001248	0001248
0001293	0001293
0001301	0001301
0001311	0001311
0001311	0001312
0001311	0001326
